content,cleaned_text
sangat membantu,bantu
Biaya administrasinya Memberatkan..Setiap ada Pemeliharaan Ada potongan saldo yg tidak jelas Untuk apa.,biaya administrasi berat pelihara potong saldo tidak
niat bikin aplikasi nggakk?? males banget ga bisa login pake fingerprint. SOMETHING WENT WRONG SOMETHING WENT WRONG SOMETHING WENT WRONG SOMETHING WENT WRONG SOMETHING WENT WRONG MULU MO AMPE KAPAANNNN!!!!! BENERIIINNN WOYYY!!!,niat bikin aplikasi nggakk males login pake fingerprint something went wrong something went wrong something went wrong something went wrong something went wrong mulu mo ampe kapaannnn beneriiinnn woyyy
sangat membantu. Terima kasih,bantu terima kasih
bagus sekali bisa di pakai di luar negeri,bagus pakai negeri
"pliss ini gimana kok gabisa bikin bca id harus vermuk tapi giliran ditunjukin mukanya dah ngikutin arahan tetep gabisa tulisannya 'verification failed' padahal kameraku ga buruk buruk amat, pencahayaan juga aman. minta tolong solusinya",pliss gimana gabisa bikin bca id vermuk gilir ditunjukin muka dah ngikutin arah tetep gabisa tulis verification failed kamera buruk buruk cahaya aman tolong solusi
mantap,mantap
sangat bagus,bagus
setelah update pada saat dibuka mybca lama banget ga kaya biasa nya😔 tolong agar perbaiki lagi,update buka mybca kaya tolong baik
MY BCA BODOH PERBAIKI KINERJA SISTEM TENGAH MALEM SUKA EROR NGELAG LOGOUT AKUN PADAHAL SUDAH BENAR,bca bodoh baik kerja sistem malem suka eror ngelag logout akun
ok my,ok
APK sangat tidak bagus dan pelayanan kurang baik,apk tidak bagus layan kurang
kasih bintang 5 aj,kasih bintang aj
"Udah aplikasinya keren, anti leleh dan mudah digunakan, kalau di tambahkan suara notifikasi lebih mantep kayanya deh, seperti aplikasi BRI, ada suara notifikasi khususnya",aplikasi keren anti leleh mudah tambah suara notifikasi mantep kaya deh aplikasi bri suara notifikasi
ini kenapa yah? kode negara Indonesia gk ada muncul? ini sistemnya kok bobrok banget sihh.,yah kode negara indonesia muncul sistem bobrok sihh
bagus sih.. tapi terlalu sering suruh update,bagus sih suruh update
"bayangin saya tranfer dari mbangkin BCA ke MY BCA masa kepotong 5rb, biasanya juga kaga kenapa ini ?",bayangin tranfer mbangkin bca bca potong rb kaga
"aplikasi jelek, daftar sja keluar terus...",aplikasi jelek daftar sja
setelah di update knapa loginya harus pakek kartu yang terdaftar no telpon di bank .di hp pasangan jadi tidak bisa masuk.masak harus.mindah mindahin kartu,update knapa log pakek kartu daftar no telpon bank hp pasang tidak masuk masak mindah mindahin kartu
bagus lengkap,bagus lengkap
tidak bisa apdet,tidak apdet
mantap,mantap
"keren si, cuman memang updatenya sesering itu.",keren si cuman updatenya sering
"melakukan pembaruan malah nggak bisa di buka, padahal urgent untuk di gunakan. menghambat saja !!!!!!",baru nggak buka urgent hambat
aku uda daftarin no hp lwt atm bca.. tp msh saja ga bsa.. disuruh daftarin mulu no hpnya... gmn sih..,uda daftarin no hp lwt atm bca tp msh bsa suruh daftarin mulu no hpnya gmn sih
"aplikasi busuk transfer uang ke dana, pas masukin pin udh bener malah salah malahan sampe ke blokir aneh busuk ni aplikasi",aplikasi busuk transfer uang dana pas masukin pin udh bener salah sampe blokir aneh busuk ni aplikasi
oyyy gw gak bisa masuk setelah update tgl 19/06/2026,oyyy gw masuk update tgl
pas mau vermuk selalu ada tulisan turn off depoler apa maksud nya,pas vermuk tulis turn off depoler maksud
SAYA STOP PAKAI BCA. KECEWA. BANK LAIN BANYAK KOK.,stop pakai bca kecewa bank
sangat baik,
mantap,mantap
sangat baik,
"tiap hbs update ID suka ke blokir, bangke capek tlfn hallo bca",hbs update id suka blokir bangke capek tlfn hallo bca
bagus dan bertransaksi lebih mudah👍👍👍👍,bagus transaksi mudah
tidak ada kode negara Indonesia,tidak kode negara indonesia
Alhamdulillah setelah gunakan aplikasi MyBCA semua transaksi lancar.... 👍,alhamdulillah aplikasi mybca transaksi lancar
Alhamdulillah bisa di pakai juga,alhamdulillah pakai
buka dulu akun ku yang diblokir 207 ribu hilang kalau dibuka baru kita Anggap bank jujur,buka akun ku blokir ribu hilang buka anggap bank jujur
sangat puas,puas
"Setelah di update malah sering gangguan kalau mau masuk aplikasi, sangat mengganggu aktivitas, jadi lama kalau mau transaksi",update ganggu masuk aplikasi ganggu aktivitas transaksi
"mendadak kelogout sendiri, pas mau login lagi mesti pake otp tapi otpnya gak masuk2 pdhl udah beli pulsa",dadak kelogout pas login mesti pake otp otpnya masuk pdhl beli pulsa
setelah di update makin lelet.,update lelet
Perlu penerapan inovasi tingkat tinggi pancanomics untuk peningkatan kualitas fitur aplikasi.,terap inovasi tingkat pancanomics tingkat kualitas fitur aplikasi
aneh g bisa buka rekening,aneh buka rekening
hanya masuk ke cash flow,masuk cash flow
mantul sekali,mantul
bca mantap,bca mantap
aktivasinya lama banget ngirim kode ke email aja lama.,aktivasinya ngirim kode email
mantul,mantul
woi disuruh masukin nomer hp malah kode negara indonesia ga ada ini gimana yg bikin app kok tolol begini,woi suruh masukin nomer hp kode negara indonesia gimana bikin app tolol
aplikasinya sangat bagus dan cepat respon nya juga bagus makasih,aplikasi bagus cepat respon bagus makasih
kenapa BCA gagal transaksi saldo tetap berkurang dan tidak di refund akhirnya hilang duit nya,bca gagal transaksi saldo kurang tidak refund hilang duit
selalu mantap,mantap
kenapa saya masuk ga ada kode nomer indonesia ya,masuk kode nomer indonesia
ini kode nomor Indonesia mana sih kok gada,kode nomor indonesia sih gada
saat masuk nya lama sekali dan kadang suka tiba tiba keluar,masuk kadang suka
Mantap,mantap
"BCA itu Bank paling sadis n Kejam,ga Bs ks solusi n kemudahan utk kita yg di luneg,palagi kalo nelp halobca,jawabannya template semua,ga mau dengar problem kita,asyik nyeroscos sendiri,kirain ini apps Bs kasi kemudahan eh gak taunya,km diharuskan pulang kampung dulu utk daftar di ATMnya pakai kartu ATM br bs dipake,bayangin kartu ATM dah expired,utk pulang kampung aja perlu uang yg uangnya tersimpan di bca,utk yg mau ke luneg sebaiknya jangan pakai BCA,tukar aja uangnya ke dollar, Jd km Bs balik",bca bank sadis kejam bs ks solusi mudah utk luneg palagi kalo nelp halobca jawab template dengar problem asyik nyeroscos kirain apps bs kasi mudah eh tau km harus pulang kampung utk daftar atmnya pakai kartu atm br bs dipake bayangin kartu atm dah expired utk pulang kampung uang uang simpan bca utk luneg jangan pakai bca tukar uang dollar jd km bs
Januari 2026 gw bikin ATM...trs GK gw isi saldo..itu tiap hari di TLP nin terus nanya kapan di pake transaksi..kapan transaksi pertama..dah kaya gw punya hutang ratusan miliar aja di tagihin..bulan Juni ini baru gw pake tuh ATM orng byar utang ke gw 200rb..pas gw ambil cuma 160rb..hari ini masih bulan juni tgl 18 temen gw TF 41rb..pas gw ambil cuma 21rb..heran gw..kmna itu sisa nya..masa bayar pajak lagi..Segede itu bayar pajak nya bca.....ini sih bukan bank..tapi lintah darat...,januari gw bikin atm trs gw isi saldo tlp nin nanya pake transaksi transaksi dah kaya gw hutang ratus miliar tagihin juni gw pake tuh atm orng byar utang gw rb pas gw ambil rb juni tgl temen gw tf rb pas gw ambil rb heran gw kmna sisa bayar pajak gede bayar pajak bca sih bukan bank lintah darat
"saya suka dengan bca. potongan bulanan memang lebih besar dari bank lain , tapi bca bisa saldo sampai nol. hebat..",suka bca potong bulan bank bca saldo nol hebat
apk nya bagus membantu tapi kurang di saat login selalu lambat padahal jaringan bagus,apk bagus bantu kurang login lambat jaring bagus
